player_id,full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
6462,Ellis Richardson,Ellis,Richardson,26.0,,TE,TE,,,Active,45.0,75,245,Georgia Southern,3.0,,2024-09-17
11255,Nick Amoah,Nick,Amoah,,,OL,OL,,,Active,63.0,74,306,UC Davis,0.0,,2024-09-17
8842,Malkelm Morrison,Malkelm,Morrison,,,CB,DB,,,Injured Reserve,0.0,70,186,Army,1.0,,2024-09-17
7926,Carl Tucker,Carl,Tucker,24.0,,TE,TE,,,Active,0.0,74,250,Alabama,1.0,,2024-09-17
1875,C.J. Mosley,C.J.,Mosley,32.0,NYJ,LB,LB,MLB,1.0,Active,57.0,74,231,Alabama,10.0,Questionable,2024-09-17
8478,Samuel Womack,Samuel,Womack,25.0,IND,CB,DB,NB,1.0,Active,33.0,71,189,Toledo,2.0,,2024-09-17
995,Ron Parker,Ron,Parker,34.0,,FS,DB,,,Injured Reserve,0.0,72,206,Newberry,11.0,,2024-09-17
1408,Le'Veon Bell,Le'Veon,Bell,29.0,TB,RB,RB,,,Active,6.0,73,225,Michigan State,9.0,,2024-09-17
8074,Matt Seybert,Matt,Seybert,24.0,,TE,TE,,,Active,41.0,76,252,Michigan State,1.0,,2024-09-17
156,William Gay,William,Gay,35.0,,CB,DB,,,Inactive,25.0,"5'10""",187,Louisville,13.0,,2024-09-17
7311,Javin White,Javin,White,27.0,,LB,"DB,LB",,,Active,60.0,74,211,UNLV,4.0,,2024-09-17
2091,Bashaud Breeland,Bashaud,Breeland,30.0,ARI,CB,DB,,,Active,24.0,71,197,Clemson,8.0,,2024-09-17
11533,Brandon Aubrey,Brandon,Aubrey,29.0,DAL,K,K,K,1.0,Active,17.0,75,218,Notre Dame,1.0,,2024-09-17
2508,Amarlo Herrera,Amarlo,Herrera,28.0,,LB,LB,,,Inactive,56.0,"6'1""",249,Georgia,5.0,,2024-09-17
2199,Kasim Edebali,Kasim,Edebali,32.0,,DE,"DL,LB",,,Inactive,95.0,74,253,Boston College,8.0,,2024-09-17
2881,Tyler Slavin,Tyler,Slavin,26.0,,WR,WR,,,Inactive,13.0,"6'2""",215,New Mexico Highlands,1.0,,2024-09-17
