full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
Michael Mayer,Michael,Mayer,23.0,LV,TE,TE,TE,2.0,Active,87.0,76,265.0,Notre Dame,1.0,,2024-09-17
Greg Jennings,Greg,Jennings,36.0,,WR,WR,,,Inactive,85.0,"6'0""",195.0,Western Michigan,14.0,,2024-09-17
Terry Robiskie,Terry,Robiskie,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Jordan Kunaszyk,Jordan,Kunaszyk,27.0,MIN,LB,LB,LB,,Inactive,45.0,75,235.0,California,5.0,IR,2024-09-17
Jedrick Wills,Jedrick,Wills,25.0,CLE,OT,"OL,OT",OL,,Active,71.0,76,307.0,Alabama,4.0,Out,2024-09-17
Shakial Taylor,Shakial,Taylor,25.0,,CB,DB,,,Active,0.0,71,175.0,Kansas,3.0,,2024-09-17
Kelvin Sheppard,Kelvin,Sheppard,34.0,,LB,LB,,,Inactive,51.0,74,252.0,Louisiana State,11.0,,2024-09-17
Tony Jones,Tony,Jones,25.0,,WR,WR,,,Inactive,13.0,"5'11""",194.0,Northwestern,0.0,,2024-09-17
Slade Bolden,Slade,Bolden,24.0,,WR,WR,,,Active,89.0,71,189.0,Alabama,2.0,,2024-09-17
Tre Avery,Tre,Avery,27.0,TEN,CB,DB,,,Active,23.0,71,185.0,Rutgers,2.0,,2024-09-17
Jake Rodgers,Jake,Rodgers,30.0,,T,OL,,,Active,0.0,78,320.0,Eastern Washington,7.0,,2024-09-17
Kadeem Edwards,Kadeem,Edwards,30.0,,G,OL,,,Inactive,78.0,76,305.0,Tennessee State,8.0,,2024-09-17
Michael Egnew,Michael,Egnew,27.0,,TE,TE,,,Inactive,84.0,"6'5""",255.0,Missouri,3.0,,2024-09-17
Lou Young,Lou,Young,30.0,,CB,DB,,,Inactive,32.0,73,205.0,Georgia Tech,8.0,,2024-09-17
Ben Roethlisberger,Ben,Roethlisberger,39.0,PIT,QB,QB,,,Active,7.0,77,240.0,Miami (OH),18.0,,2024-09-17
Isaiah Johnson,Isaiah,Johnson,29.0,,FS,DB,,,Inactive,0.0,72,209.0,South Carolina,6.0,,2024-09-17
Wesley French,Wesley,French,27.0,IND,OL,OL,OL,,Inactive,62.0,76,307.0,Western Michigan,2.0,IR,2024-09-17
