full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
Ellis Richardson,Ellis,Richardson,26.0,,TE,TE,,,Active,45.0,75,245.0,Georgia Southern,3.0,,2024-09-17
Nick Amoah,Nick,Amoah,,,OL,OL,,,Active,63.0,74,306.0,UC Davis,0.0,,2024-09-17
Malkelm Morrison,Malkelm,Morrison,,,CB,DB,,,Injured Reserve,0.0,70,186.0,Army,1.0,,2024-09-17
Carl Tucker,Carl,Tucker,24.0,,TE,TE,,,Active,0.0,74,250.0,Alabama,1.0,,2024-09-17
C.J. Mosley,C.J.,Mosley,32.0,NYJ,LB,LB,MLB,1.0,Active,57.0,74,231.0,Alabama,10.0,Questionable,2024-09-17
Samuel Womack,Samuel,Womack,25.0,IND,CB,DB,NB,1.0,Active,33.0,71,189.0,Toledo,2.0,,2024-09-17
Ron Parker,Ron,Parker,34.0,,FS,DB,,,Injured Reserve,0.0,72,206.0,Newberry,11.0,,2024-09-17
Le'Veon Bell,Le'Veon,Bell,29.0,TB,RB,RB,,,Active,6.0,73,225.0,Michigan State,9.0,,2024-09-17
Matt Seybert,Matt,Seybert,24.0,,TE,TE,,,Active,41.0,76,252.0,Michigan State,1.0,,2024-09-17
William Gay,William,Gay,35.0,,CB,DB,,,Inactive,25.0,"5'10""",187.0,Louisville,13.0,,2024-09-17
Javin White,Javin,White,27.0,,LB,"DB,LB",,,Active,60.0,74,211.0,UNLV,4.0,,2024-09-17
Bashaud Breeland,Bashaud,Breeland,30.0,ARI,CB,DB,,,Active,24.0,71,197.0,Clemson,8.0,,2024-09-17
Brandon Aubrey,Brandon,Aubrey,29.0,DAL,K,K,K,1.0,Active,17.0,75,218.0,Notre Dame,1.0,,2024-09-17
Amarlo Herrera,Amarlo,Herrera,28.0,,LB,LB,,,Inactive,56.0,"6'1""",249.0,Georgia,5.0,,2024-09-17
Kasim Edebali,Kasim,Edebali,32.0,,DE,"DL,LB",,,Inactive,95.0,74,253.0,Boston College,8.0,,2024-09-17
Tyler Slavin,Tyler,Slavin,26.0,,WR,WR,,,Inactive,13.0,"6'2""",215.0,New Mexico Highlands,1.0,,2024-09-17
DeMarcus Lawrence,DeMarcus,Lawrence,32.0,DAL,DE,DL,LDE,1.0,Active,90.0,75,265.0,Boise State,10.0,,2024-09-17
Lance Dunbar,Lance,Dunbar,30.0,,RB,RB,,,Inactive,25.0,"5'8""",187.0,North Texas,8.0,,2024-09-17
DeAndrew White,DeAndrew,White,30.0,,WR,WR,,,Inactive,18.0,72,195.0,Alabama,7.0,Questionable,2024-09-17
Devaroe Lawrence,Devaroe,Lawrence,29.0,,DT,DL,,,Active,0.0,74,294.0,Auburn,5.0,,2024-09-17
DeAndre Baker,DeAndre,Baker,24.0,,CB,DB,,,Active,30.0,71,186.0,Georgia,3.0,,2024-09-17
Taylor Thompson,Taylor,Thompson,27.0,,TE,TE,,,Inactive,84.0,"6'6""",268.0,SMU,3.0,,2024-09-17
Kevon Seymour,Kevon,Seymour,30.0,,CB,DB,,,Inactive,25.0,72,188.0,USC,8.0,,2024-09-17
Corey Straughter,Corey,Straughter,23.0,,CB,DB,,,Active,0.0,70,183.0,Louisiana-Monroe,1.0,,2024-09-17
A.J. Rose,A.J.,Rose,24.0,,RB,RB,,,Active,24.0,73,212.0,Kentucky,1.0,,2024-09-17
Erik Pears,Erik,Pears,38.0,,T,OL,,,Inactive,71.0,"6'8""",316.0,Colorado State,15.0,,2024-09-17
Ricky Jeune,Ricky,Jeune,28.0,,WR,WR,,,Active,2.0,75,212.0,Georgia Tech,4.0,,2024-09-17
Aaron Colvin,Aaron,Colvin,30.0,,CB,DB,,,Active,34.0,72,191.0,Oklahoma,8.0,,2024-09-17
Marquis Wilson,Marquis,Wilson,,,DB,DB,,,Active,,71,185.0,Purdue,0.0,,2024-09-17
Christian Uphoff,Christian,Uphoff,23.0,,DB,DB,,,Active,0.0,75,195.0,Illinois State,1.0,,2024-09-17
Jacob Hummel,Jacob,Hummel,25.0,LAR,LB,LB,RILB,2.0,Active,35.0,73,229.0,Iowa State,2.0,,2024-09-17
Jerome Kapp,Jerome,Kapp,24.0,,WR,WR,,,Active,31.0,75,210.0,Kutztown,1.0,,2024-09-17
Nick Boyle,Nick,Boyle,29.0,,TE,TE,,,Active,86.0,76,261.0,Delaware,8.0,,2024-09-17
Ty Clary,Ty,Clary,23.0,,OL,OL,,,Active,61.0,76,299.0,Arkansas,0.0,,2024-09-17
Aaron Shampklin,Aaron,Shampklin,24.0,PIT,RB,RB,,,Active,33.0,70,195.0,Harvard,2.0,,2024-09-17
Parker Washington,Parker,Washington,22.0,JAX,WR,WR,SWR,4.0,Active,11.0,70,204.0,Penn State,1.0,,2024-09-17
Geno Stone,Geno,Stone,25.0,CIN,DB,DB,FS,1.0,Active,22.0,71,210.0,Iowa,4.0,,2024-09-17
Johnny Manziel,Johnny,Manziel,27.0,,QB,QB,,,Inactive,2.0,"6'0""",210.0,Texas A&M,6.0,,2024-09-17
Joe Gaziano,Joe,Gaziano,27.0,JAX,DE,DL,,,Active,97.0,76,280.0,Northwestern,4.0,,2024-09-17
Jarrid Williams,Jarrid,Williams,26.0,,OL,OL,,,Active,76.0,78,308.0,Miami (FL),1.0,,2024-09-17
Brock Ruble,Brock,Ruble,26.0,,OT,OL,,,Active,72.0,80,325.0,Toledo,3.0,,2024-09-17
Jakeem Grant,Jakeem,Grant,31.0,,WR,WR,,,Inactive,84.0,67,172.0,Texas Tech,8.0,Questionable,2024-09-17
Jaron Brown,Jaron,Brown,32.0,,WR,WR,,,Active,18.0,75,205.0,Clemson,9.0,,2024-09-17
Eric Murray,Eric,Murray,30.0,HOU,DB,DB,FS,2.0,Active,23.0,71,199.0,Minnesota,8.0,,2024-09-17
Nicholas Morrow,Nicholas,Morrow,29.0,BUF,LB,LB,ROLB,2.0,Active,32.0,72,216.0,Greenville,7.0,,2024-09-17
Joshua Pryor,Joshua,Pryor,24.0,,DL,DL,,,Active,47.0,76,280.0,Bowie State,1.0,,2024-09-17
Salvon Ahmed,Salvon,Ahmed,25.0,,RB,RB,,,Active,26.0,71,197.0,Washington,4.0,Questionable,2024-09-17
Tommy Sweeney,Tommy,Sweeney,29.0,,TE,TE,,,Active,47.0,77,255.0,Boston College,5.0,,2024-09-17
Brad Cecil,Brad,Cecil,23.0,,OL,OL,,,Active,64.0,76,300.0,South Florida,0.0,,2024-09-17
Aaron Stinnie,Aaron,Stinnie,30.0,NYG,G,"OG,OL",OL,,Active,64.0,75,312.0,James Madison,6.0,,2024-09-17
Bryce Williams,Bryce,Williams,28.0,,TE,TE,,,Active,80.0,78,258.0,East Carolina,6.0,,2024-09-17
Ryan Whalen,Ryan,Whalen,29.0,,WR,WR,,,Inactive,81.0,"6'1""",202.0,Stanford,3.0,,2024-09-17
Duplicate Player,Duplicate,Player,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Kyle Murphy,Kyle,Murphy,28.0,NO,OT,"OL,OT",,,Active,79.0,78,305.0,Stanford,6.0,,2024-09-17
CeeDee Lamb,CeeDee,Lamb,25.0,DAL,WR,WR,LWR,1.0,Active,88.0,74,200.0,Oklahoma,4.0,,2024-09-17
Michael Gallup,Michael,Gallup,28.0,,WR,WR,,,Active,10.0,73,205.0,Colorado State,6.0,,2024-09-17
DJ Johnson,DJ,Johnson,25.0,CAR,LB,LB,ROLB,1.0,Active,52.0,76,260.0,Oregon,1.0,,2024-09-17
Xavier Coleman,Xavier,Coleman,26.0,,CB,DB,,,Inactive,0.0,71,190.0,Portland State,5.0,,2024-09-17
Bucky Irving,Bucky,Irving,22.0,TB,RB,RB,RB,2.0,Active,7.0,70,195.0,Oregon,0.0,,2024-09-17
Doug Martin,Doug,Martin,32.0,,RB,RB,,,Inactive,22.0,69,210.0,Boise State,10.0,,2024-09-17
De'Anthony Thomas,De'Anthony,Thomas,29.0,,WR,WR,,,Inactive,16.0,68,176.0,Oregon,8.0,,2024-09-17
Mike Catapano,Mike,Catapano,30.0,,LB,"DL,LB",,,Inactive,48.0,"6'4""",270.0,Princeton,7.0,,2024-09-17
Kevin Dotson,Kevin,Dotson,27.0,LAR,OL,OL,OL,,Active,69.0,76,330.0,Louisiana,4.0,,2024-09-17
Nick Sirianni,Nick,Sirianni,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Kendall Milton,Kendall,Milton,22.0,CIN,RB,RB,,,Active,36.0,73,230.0,Georgia,0.0,,2024-09-17
Jerry Jeudy,Jerry,Jeudy,25.0,CLE,WR,WR,RWR,2.0,Active,3.0,73,195.0,Alabama,4.0,,2024-09-17
Tejan Koroma,Tejan,Koroma,25.0,,C,OL,,,Active,73.0,72,290.0,Brigham Young,4.0,,2024-09-17
Max Valles,Max,Valles,26.0,,LB,"DL,LB",,,Inactive,54.0,"6'5""",251.0,Virginia,5.0,,2024-09-17
Brent Celek,Brent,Celek,35.0,,TE,TE,,,Inactive,87.0,"6'4""",255.0,Cincinnati,13.0,,2024-09-17
Knowshon Moreno,Knowshon,Moreno,30.0,,RB,RB,,,Inactive,28.0,"5'11""",210.0,Georgia,6.0,,2024-09-17
Player Invalid,Player,Invalid,,,TE,TE,,,Inactive,,,,,0.0,,2024-09-17
Rashad Smith,Rashad,Smith,25.0,,LB,LB,,,Active,59.0,73,220.0,Florida Atlantic,2.0,,2024-09-17
Anthony Sao,Anthony,Sao,23.0,,CB,DB,,,Active,37.0,73,200.0,MidAmerican Nazarene,0.0,,2024-09-17
Jacob Cowing,Jacob,Cowing,23.0,SF,WR,WR,SWR,4.0,Active,19.0,69,171.0,Arizona,0.0,,2024-09-17
Miles Boykin,Miles,Boykin,27.0,,WR,WR,,,Active,81.0,76,220.0,Notre Dame,5.0,,2024-09-17
Andrew Peacock,Andrew,Peacock,26.0,,WR,WR,,,Inactive,1.0,"5'9""",195.0,Appalachian State,1.0,,2024-09-17
JD Bertrand,JD,Bertrand,24.0,ATL,LB,LB,LILB,2.0,Active,40.0,73,233.0,Notre Dame,0.0,,2024-09-17
Dante Pettis,Dante,Pettis,28.0,,WR,WR,,,Inactive,81.0,73,195.0,Washington,6.0,Questionable,2024-09-17
Eric Reid,Eric,Reid,30.0,,SS,DB,,,Active,25.0,73,213.0,Louisiana State,9.0,,2024-09-17
Darrell Brown,Darrell,Brown,28.0,,OT,OL,,,Active,66.0,76,305.0,Louisiana Tech,5.0,,2024-09-17
Ryan Lewis,Ryan,Lewis,27.0,,CB,DB,,,Inactive,37.0,72,185.0,Pittsburgh,5.0,,2024-09-17
JJ Jansen,JJ,Jansen,38.0,CAR,LS,LS,LS,,Active,44.0,74,235.0,Notre Dame,16.0,,2024-09-17
James Lynch,James,Lynch,25.0,TEN,DT,DL,NT,2.0,Active,97.0,76,289.0,Baylor,4.0,,2024-09-17
Jordan Mills,Jordan,Mills,31.0,,T,"OL,OT",,,Active,79.0,77,311.0,Louisiana Tech,9.0,,2024-09-17
Jordan Wade,Jordan,Wade,,OAK,G,OL,,,Active,0.0,"6'3""",311.0,Oklahoma,1.0,,2024-09-17
Bralon Addison,Bralon,Addison,28.0,,WR,WR,,,Inactive,89.0,70,190.0,Oregon,6.0,,2024-09-17
Christian Sims,Christian,Sims,22.0,,TE,TE,,,Active,46.0,74,243.0,Bowling Green,1.0,,2024-09-17
Telvin Smith,Telvin,Smith,30.0,,LB,LB,,,Injured Reserve,0.0,75,215.0,Florida State,8.0,,2024-09-17
Marte Mapu,Marte,Mapu,24.0,NE,DB,DB,DB,,Inactive,15.0,75,230.0,Sacramento State,1.0,IR,2024-09-17
Kayshon Boutte,Kayshon,Boutte,22.0,NE,WR,WR,RWR,5.0,Active,9.0,71,197.0,LSU,1.0,Out,2024-09-17
Rashard Davis,Rashard,Davis,26.0,,WR,WR,,,Active,6.0,69,180.0,James Madison,5.0,,2024-09-17
Dri Archer,Dri,Archer,29.0,,RB,RB,,,Inactive,13.0,"5'8""",173.0,Kent State,6.0,,2024-09-17
Daniel Whelan,Daniel,Whelan,24.0,,P,P,,,Active,0.0,78,221.0,UC Davis,0.0,,2024-09-17
Darren Woodard,Darren,Woodard,27.0,,CB,DB,,,Inactive,35.0,"5'11""",170.0,Texas - El Paso,1.0,,2024-09-17
Drew Morgan,Drew,Morgan,27.0,,WR,WR,,,Active,81.0,72,187.0,Arkansas,5.0,,2024-09-17
John Ross,John,Ross,28.0,,WR,WR,,,Active,83.0,71,190.0,Washington,7.0,,2024-09-17
Kyle Wilber,Kyle,Wilber,33.0,,LB,LB,,,Active,58.0,76,240.0,Wake Forest,10.0,,2024-09-17
Leonard Hankerson,Leonard,Hankerson,31.0,,WR,WR,,,Inactive,80.0,"6'2""",211.0,Miami,9.0,,2024-09-17
Jordan Kovacs,Jordan,Kovacs,30.0,,DB,DB,,,Inactive,42.0,"5'10""",210.0,Michigan,7.0,,2024-09-17
Jaleel McLaughlin,Jaleel,McLaughlin,24.0,DEN,RB,RB,RB,2.0,Active,38.0,67,187.0,Youngstown State,1.0,,2024-09-17
Johnny King,Johnny,King,23.0,,WR,WR,,,Active,43.0,77,209.0,Southeast Missouri State,1.0,,2024-09-17
Tevin Jones,Tevin,Jones,29.0,,WR,WR,,,Active,0.0,74,225.0,Memphis,6.0,,2024-09-17
Kyle Hinton,Kyle,Hinton,26.0,ATL,G,OL,OL,,Active,68.0,74,295.0,Washburn,4.0,,2024-09-17
Anthony Sarao,Anthony,Sarao,25.0,,ILB,LB,,,Inactive,47.0,"5'11""",233.0,Southern Cal,0.0,,2024-09-17
DeMarcus Ware,DeMarcus,Ware,38.0,,DE,"DL,LB",,,Inactive,94.0,"6'4""",258.0,Troy,15.0,,2024-09-17
Tyler Beach,Tyler,Beach,25.0,,OL,OL,,,Active,69.0,78,290.0,Wisconsin,1.0,,2024-09-17
Mark Evans,Mark,Evans,24.0,,OL,OL,,,Active,68.0,76,295.0,Arkansas-Pine Bluff,1.0,,2024-09-17
Shea McClellin,Shea,McClellin,31.0,,LB,LB,,,Inactive,58.0,"6'3""",250.0,Boise State,8.0,,2024-09-17
Randell Johnson,Randell,Johnson,29.0,,LB,LB,,,Inactive,49.0,"6'4""",245.0,Florida Atlantic,6.0,,2024-09-17
Duplicate Player,Duplicate,Player,24.0,,CB,DB,,,Inactive,30.0,"6'1""",188.0,Youngstown State,1.0,,2024-09-17
Josh Sokol,Josh,Sokol,25.0,,C,,,,Active,60.0,75,290.0,Sacred Heart,1.0,,2024-09-17
Shaq Thompson,Shaq,Thompson,30.0,CAR,LB,LB,LILB,1.0,Active,54.0,72,230.0,Washington,9.0,,2024-09-17
Chris Pantale,Chris,Pantale,31.0,,TE,TE,,,Inactive,86.0,77,254.0,Boston College,9.0,,2024-09-17
Ryan Yurachek,Ryan,Yurachek,25.0,,TE,TE,,,Active,42.0,72,239.0,Marshall,4.0,,2024-09-17
David Watford,David,Watford,28.0,,WR,WR,,,Active,14.0,74,212.0,Hampton,6.0,,2024-09-17
Terrell Bonds,Terrell,Bonds,26.0,,CB,DB,,,Active,47.0,68,182.0,Tennessee State,3.0,,2024-09-17
Evan Berry,Evan,Berry,26.0,,WR,WR,,,Active,0.0,71,205.0,Tennessee,4.0,,2024-09-17
Taylor Grimes,Taylor,Grimes,23.0,,WR,WR,,,Active,13.0,71,188.0,Incarnate Word,1.0,,2024-09-17
Jay Ratliff,Jay,Ratliff,39.0,,NT,DL,,,Inactive,90.0,"6'4""",303.0,Auburn,15.0,,2024-09-17
Dalyn Dawkins,Dalyn,Dawkins,27.0,,RB,RB,,,Active,28.0,67,185.0,Colorado State,4.0,,2024-09-17
Boston Scott,Boston,Scott,29.0,,RB,RB,,,Active,33.0,66,203.0,Louisiana Tech,6.0,Questionable,2024-09-17
Nate Hobbs,Nate,Hobbs,25.0,LV,CB,DB,LCB,1.0,Active,39.0,72,195.0,Illinois,3.0,,2024-09-17
Sergio Bailey II,Sergio,Bailey II,29.0,,WR,WR,,,Inactive,83.0,"6'0""",190.0,,0.0,,2024-09-17
Ledarius Mack,Ledarius,Mack,25.0,,LB,"DL,LB",,,Inactive,43.0,73,237.0,Buffalo,2.0,Questionable,2024-09-17
Kenny Horsley,Kenny,Horsley,29.0,,DT,DL,,,Inactive,69.0,"6'7""",290.0,,0.0,,2024-09-17
Devontez Walker,Devontez,Walker,23.0,BAL,WR,WR,RWR,4.0,Active,81.0,73,198.0,North Carolina,0.0,Out,2024-09-17
Jomon Dotson,Jomon,Dotson,,,DB,DB,,,Inactive,0.0,70,180.0,Nevada,3.0,,2024-09-17
Oren Burks,Oren,Burks,29.0,PHI,LB,LB,RILB,3.0,Active,42.0,75,233.0,Vanderbilt,6.0,,2024-09-17
Kory Lichtensteiger,Kory,Lichtensteiger,35.0,,C,OL,,,Inactive,78.0,"6'2""",296.0,Bowling Green,12.0,,2024-09-17
Marvin Moody,Marvin,Moody,,,LB,LB,,,Active,36.0,74,230.0,Tulane,1.0,,2024-09-17
Arthur Jones,Arthur,Jones,35.0,,DE,DL,,,Inactive,96.0,75,320.0,Syracuse,12.0,,2024-09-17
Travis Benham,Travis,Benham,,,P,P,,,Active,,75,197.0,Montana,0.0,,2024-09-17
Dieter Eiselen,Dieter,Eiselen,28.0,,OL,OL,,,Active,60.0,76,300.0,Yale,4.0,,2024-09-17
Ryan Crozier,Ryan,Crozier,26.0,,G,OL,,,Active,63.0,76,294.0,Connecticut,3.0,,2024-09-17
Kevin Coyle,Kevin,Coyle,,,,,,,Inactive,0.0,,,,,,2024-09-17
Ryan Groy,Ryan,Groy,31.0,,G,OL,,,Inactive,72.0,77,320.0,Wisconsin,8.0,Questionable,2024-09-17
Shaquem Griffin,Shaquem,Griffin,26.0,,LB,LB,,,Active,0.0,72,227.0,UCF,4.0,,2024-09-17
Brian Leonard,Brian,Leonard,33.0,,RB,RB,,,Inactive,40.0,"6'1""",230.0,Rutgers,7.0,,2024-09-17
David Nelson,David,Nelson,31.0,,WR,WR,,,Inactive,15.0,"6'5""",214.0,Florida,5.0,,2024-09-17
Mickey Shuler,Mickey,Shuler,33.0,,TE,TE,,,Inactive,82.0,"6'4""",247.0,Penn State,10.0,,2024-09-17
Jake Stoneburner,Jake,Stoneburner,31.0,,TE,TE,,,Inactive,49.0,"6'3""",249.0,Ohio State,7.0,,2024-09-17
Brett Veach,Brett,Veach,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Damarion Williams,Damarion,Williams,26.0,,DB,DB,,,Active,24.0,70,180.0,Houston,2.0,,2024-09-17
Tyreek Burwell,Tyreek,Burwell,28.0,,T,OL,,,Inactive,65.0,"6'5""",305.0,Cincinnati,5.0,,2024-09-17
Melvin Gordon,Melvin,Gordon,30.0,,RB,RB,,,Active,33.0,73,215.0,Wisconsin,9.0,,2024-09-17
Cory Trice,Cory,Trice,24.0,PIT,CB,DB,RCB,2.0,Active,27.0,75,206.0,Purdue,1.0,,2024-09-17
Jared Crick,Jared,Crick,31.0,,DE,DL,,,Inactive,93.0,"6'4""",285.0,Nebraska,8.0,,2024-09-17
AJ McCarron,AJ,McCarron,33.0,,QB,QB,,,Active,4.0,75,220.0,Alabama,10.0,,2024-09-17
Ty James,Ty,James,23.0,,WR,WR,,,Active,40.0,74,200.0,Mercer,0.0,,2024-09-17
Tarvarius Moore,Tarvarius,Moore,28.0,CHI,DB,DB,,,Active,30.0,74,200.0,Southern Miss,6.0,,2024-09-17
Malcolm Johnson,Malcolm,Johnson,29.0,,FB,RB,,,Active,0.0,73,231.0,Mississippi State,7.0,,2024-09-17
Michael Wakefield,Michael,Wakefield,24.0,,OLB,LB,WLB,2.0,Inactive,45.0,"6'3""",254.0,Florida International,0.0,,2024-09-17
Clay Johnston,Clay,Johnston,27.0,,LB,LB,,,Active,44.0,73,232.0,Baylor,4.0,,2024-09-17
Brian Price,Brian,Price,27.0,,DT,DL,,,Injured Reserve,0.0,75,322.0,UTSA,6.0,,2024-09-17
Derick Roberson,Derick,Roberson,26.0,,LB,LB,,,Active,42.0,75,250.0,Sam Houston State,3.0,,2024-09-17
Johnny Ragin,Johnny,Ragin,26.0,,ILB,LB,,,Active,0.0,75,225.0,Oregon,5.0,,2024-09-17
Brynden Trawick,Brynden,Trawick,32.0,,FS,DB,,,Active,31.0,74,225.0,Troy,9.0,,2024-09-17
Brad Smith,Brad,Smith,33.0,,WR,WR,,,Inactive,16.0,"6'2""",212.0,Missouri,9.0,,2024-09-17
Luke Sellers,Luke,Sellers,24.0,,FB,RB,,,Inactive,47.0,73,245.0,South Dakota State,2.0,,2024-09-17
David Irving,David,Irving,28.0,,DE,DL,,,Inactive,95.0,79,273.0,Iowa State,7.0,,2024-09-17
TaMerik Williams,TaMerik,Williams,,,RB,RB,,,Active,31.0,72,227.0,North Dakota State,0.0,,2024-09-17
Jeff Cumberland,Jeff,Cumberland,33.0,,TE,TE,,,Inactive,87.0,"6'4""",260.0,Illinois,10.0,,2024-09-17
Bejour Wilson,Bejour,Wilson,24.0,,CB,DB,,,Active,22.0,69,172.0,Liberty,2.0,,2024-09-17
Orie Lemon,Orie,Lemon,33.0,,LB,LB,,,Inactive,45.0,"6'1""",242.0,Oklahoma State,9.0,,2024-09-17
Geoff Gray,Geoff,Gray,27.0,,G,OL,,,Inactive,79.0,77,315.0,"Manitoba, Can.",5.0,,2024-09-17
Rashaad Reynolds,Rashaad,Reynolds,30.0,,CB,DB,,,Active,43.0,71,187.0,Oregon State,8.0,,2024-09-17
Tyrus Wheat,Tyrus,Wheat,24.0,DAL,DE,DL,LDE,3.0,Active,91.0,74,260.0,Mississippi State,1.0,,2024-09-17
D.J. Foster,D.J.,Foster,28.0,,RB,RB,,,Inactive,37.0,72,205.0,Arizona State,6.0,,2024-09-17
Nick Broeker,Nick,Broeker,23.0,HOU,OL,OL,OL,,Active,64.0,77,305.0,Ole Miss,1.0,,2024-09-17
Phillip Adams,Phillip,Adams,32.0,,CB,DB,,,Inactive,20.0,"5'11""",195.0,South Carolina State,10.0,,2024-09-17
Emmanuel Beal,Emmanuel,Beal,26.0,,ILB,LB,,,Active,43.0,72,218.0,Oklahoma,4.0,,2024-09-17
Duce Staley,Duce,Staley,,,RB,RB,,,Inactive,22.0,,,,0.0,,2024-09-17
Shamarko Thomas,Shamarko,Thomas,30.0,,SS,DB,,,Inactive,38.0,69,205.0,Syracuse,9.0,,2024-09-17
Kyle Rose,Kyle,Rose,25.0,,NT,DL,,,Inactive,63.0,"6'4""",293.0,West Virginia,0.0,,2024-09-17
Josh Carraway,Josh,Carraway,27.0,,OLB,LB,,,Inactive,42.0,75,242.0,Texas Christian,5.0,,2024-09-17
DeAngelo Hardy,DeAngelo,Hardy,,,WR,WR,,,Active,5.0,73,208.0,North Central,0.0,,2024-09-17
Kamaal Seymour,Kamaal,Seymour,26.0,,OT,"OL,OT",,,Active,63.0,78,319.0,Rutgers,2.0,,2024-09-17
Jamon Meredith,Jamon,Meredith,34.0,,T,OL,,,Inactive,79.0,"6'5""",312.0,South Carolina,11.0,,2024-09-17
Rex Burkhead,Rex,Burkhead,32.0,,RB,RB,,,Active,28.0,70,215.0,Nebraska,10.0,,2024-09-17
Gabe Hughes,Gabe,Hughes,24.0,,TE,TE,,,Inactive,89.0,"6'4""",241.0,Florida Tech,0.0,,2024-09-17
Emmanuel Rugamba,Emmanuel,Rugamba,23.0,,CB,DB,,,Active,0.0,71,194.0,Miami (OH),1.0,,2024-09-17
Mercy Maston,Mercy,Maston,29.0,,CB,DB,,,Active,0.0,71,208.0,Boise State,3.0,,2024-09-17
Andrew Farmer,Andrew,Farmer,24.0,DEN,LB,LB,,,Active,98.0,76,250.0,Lane,1.0,,2024-09-17
Tanner Volson,Tanner,Volson,25.0,,C,OL,,,Active,63.0,76,303.0,North Dakota State,3.0,,2024-09-17
Malcolm Elmore,Malcolm,Elmore,23.0,,DB,DB,,,Active,28.0,71,185.0,Central Methodist,2.0,,2024-09-17
Kyle Pitts,Kyle,Pitts,23.0,ATL,TE,TE,TE,1.0,Active,8.0,78,246.0,Florida,3.0,,2024-09-17
Demario Richard,Demario,Richard,25.0,,RB,RB,,,Active,0.0,70,219.0,Arizona State,4.0,,2024-09-17
Duplicate Player,Duplicate,Player,22.0,LAR,DE,DL,LDE,2.0,Inactive,94.0,"6'4""",283.0,Stephen F. Austin,1.0,Out,2024-09-17
Don Barclay,Don,Barclay,31.0,,G,OL,,,Inactive,67.0,"6'4""",305.0,West Virginia,8.0,,2024-09-17
Austin Barnard,Austin,Barnard,26.0,,P,P,,,Active,3.0,75,207.0,Samford,4.0,,2024-09-17
Trent Harris,Trent,Harris,27.0,,LB,LB,,,Active,57.0,74,255.0,Miami (FL),5.0,,2024-09-17
Leon Mackey,Leon,Mackey,28.0,,DE,DL,,,Inactive,78.0,"6'5""",260.0,Texas Tech,1.0,,2024-09-17
Derek Barnett,Derek,Barnett,28.0,HOU,DE,DL,LDE,2.0,Active,95.0,75,259.0,Tennessee,7.0,,2024-09-17
Evan Foster,Evan,Foster,,,S,DB,,,Inactive,,"6'0""",215.0,Syracuse,0.0,,2024-09-17
Jequez Ezzard,Jequez,Ezzard,,,WR,WR,,,Active,0.0,70,195.0,Sam Houston State,1.0,Questionable,2024-09-17
Dwayne Haskins,Dwayne,Haskins,24.0,PIT,QB,QB,,,Active,3.0,76,230.0,Ohio State,3.0,,2024-09-17
Albert Wilson,Albert,Wilson,30.0,,WR,WR,,,Active,12.0,69,195.0,Georgia State,9.0,,2024-09-17
Phillip Andersen,Phillip,Andersen,30.0,,K,K,,,Active,0.0,71,206.0,No College,3.0,,2024-09-17
Joshua Lingenfelter,Joshua,Lingenfelter,,,TE,TE,,,Active,,75,250.0,Army,0.0,,2024-09-17
Chris Baker,Chris,Baker,32.0,,DT,DL,,,Inactive,92.0,"6'2""",320.0,Hampton,11.0,,2024-09-17
Benjie Franklin,Benjie,Franklin,26.0,,CB,DB,,,Active,34.0,72,172.0,Tarleton State,1.0,,2024-09-17
Josh Boyd,Josh,Boyd,31.0,,DT,DL,,,Inactive,60.0,"6'3""",310.0,Mississippi State,7.0,,2024-09-17
Kaleb Hayes,Kaleb,Hayes,25.0,,CB,DB,,,Active,46.0,72,195.0,BYU,1.0,,2024-09-17
E.J. Jenkins,E.J.,Jenkins,25.0,PHI,TE,TE,TE,5.0,Active,84.0,78,245.0,Georgia Tech,1.0,,2024-09-17
Cade Mays,Cade,Mays,25.0,NYG,OL,OL,,,Active,62.0,78,325.0,Tennessee,2.0,,2024-09-17
Nick Herbig,Nick,Herbig,22.0,PIT,LB,"DL,LB",ROLB,2.0,Active,51.0,74,240.0,Wisconsin,1.0,,2024-09-17
Elijah Campbell,Elijah,Campbell,29.0,MIA,DB,DB,FS,2.0,Active,22.0,71,200.0,Northern Iowa,6.0,,2024-09-17
Ryan Reid,Ryan,Reid,27.0,,CB,DB,,,Active,35.0,71,190.0,Baylor,5.0,,2024-09-17
Ar'Darius Washington,Ar'Darius,Washington,24.0,BAL,DB,DB,FS,2.0,Active,29.0,68,180.0,TCU,3.0,,2024-09-17
Joe Flacco,Joe,Flacco,39.0,IND,QB,QB,QB,2.0,Active,15.0,78,230.0,Delaware,16.0,,2024-09-17
Cade Beresford,Cade,Beresford,,,OL,OL,,,Active,,78,308.0,Boise State,0.0,,2024-09-17
Elijah Wellman,Elijah,Wellman,27.0,,FB,TE,,,Active,0.0,74,241.0,West Virginia,4.0,,2024-09-17
Isaiah McDuffie,Isaiah,McDuffie,25.0,GB,LB,LB,LOLB,1.0,Active,58.0,73,227.0,Boston College,3.0,,2024-09-17
Niko Davis,Niko,Davis,28.0,,DE,DL,,,Inactive,67.0,"6'5""",285.0,Liberty,0.0,,2024-09-17
